id,name,label,slug,region,latitude,longitude,icon_url,cover_image_url,description,sort_order,created_at
b8f6dfee-7260-43e6-ae8b-2ed886f8119d,Shanghai,上海,shanghai,China,,,https://images.unsplash.com/photo-1548919973-5cef591cdbc9?auto=format&fit=crop&w=800&q=80,https://images.unsplash.com/photo-1548919973-5cef591cdbc9?auto=format&fit=crop&w=800&q=80,魔都，当代艺术与商业的中心,0,2026-01-25 08:22:11.96936+00
75ab4e40-5539-40ed-a52d-b8caaa38fdbd,Beijing,北京,beijing,China,,,https://images.unsplash.com/photo-1508804185872-d7badad00f7d?auto=format&fit=crop&w=800&q=80,https://images.unsplash.com/photo-1508804185872-d7badad00f7d?auto=format&fit=crop&w=800&q=80,帝都，深厚的历史文化底蕴,0,2026-01-25 08:22:11.96936+00
584ec460-f46a-4e99-b5e9-e7499c297f0b,Nanjing,南京,nanjing,China,,,https://images.unsplash.com/photo-1721021181177-1f8ad8ee81d7?auto=format&fit=crop&w=800&q=80,https://images.unsplash.com/photo-1721021181177-1f8ad8ee81d7?auto=format&fit=crop&w=800&q=80,六朝古都，历史与现代交织的科教名城,10,2026-01-26 08:03:08.129843+00
a3bfdf59-933c-4106-893f-e0566819bab1,Shenzhen,深圳,shenzhen,China,,,https://images.unsplash.com/photo-1559128010-7c1ad6e1b6a5?auto=format&fit=crop&w=800&q=80,https://images.unsplash.com/photo-1559128010-7c1ad6e1b6a5?auto=format&fit=crop&w=800&q=80,中国硅谷，创新与活力的代名词,20,2026-01-26 08:03:08.129843+00
166ccabd-95d0-49b5-b1b7-71d4ba734acb,Guangzhou,广州,guangzhou,China,,,https://images.unsplash.com/photo-1553826059-7a090c4a3447?auto=format&fit=crop&w=800&q=80,https://images.unsplash.com/photo-1553826059-7a090c4a3447?auto=format&fit=crop&w=800&q=80,千年商都，岭南文化中心,30,2026-01-26 08:03:08.129843+00
552e53e5-810e-453f-88fb-461a07ecd167,Hangzhou,杭州,hangzhou,China,,,https://images.unsplash.com/photo-1640100385267-4b935d8ef86c?auto=format&fit=crop&w=800&q=80,https://images.unsplash.com/photo-1640100385267-4b935d8ef86c?auto=format&fit=crop&w=800&q=80,人间天堂，数字经济高地,50,2026-01-26 08:03:08.129843+00
b39ed92b-4c95-41e8-a5c6-b94b47357a85,Chengdu,成都,chengdu,China,,,https://images.unsplash.com/photo-1693858325816-b7a7c1066838?auto=format&fit=crop&w=800&q=80,https://images.unsplash.com/photo-1693858325816-b7a7c1066838?auto=format&fit=crop&w=800&q=80,天府之国，美食与休闲之都,60,2026-01-26 08:03:08.129843+00
70e95e37-bcf4-474d-9182-388e97d9e6bb,Xi'an,西安,xian,China,,,https://images.unsplash.com/photo-1588088470830-ab765f87abd5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NjM2MjZ8MHwxfHNlYXJjaHwxfHxYaSUyN2FuJTIwY2l0eSUyMHNreWxpbmV8ZW58MHwwfHx8MTc2OTY1NTIwOHww&ixlib=rb-4.1.0&q=80&w=200,https://images.unsplash.com/photo-1588088470830-ab765f87abd5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NjM2MjZ8MHwxfHNlYXJjaHwxfHxYaSUyN2FuJTIwY2l0eSUyMHNreWxpbmV8ZW58MHwwfHx8MTc2OTY1NTIwOHww&ixlib=rb-4.1.0&q=80&w=1080,千年古都，丝绸之路的起点,90,2026-01-27 15:10:37.827107+00
c3c017da-3b25-4bcf-857c-a48d4af543f8,Chongqing,重庆,chongqing,China,,,https://images.unsplash.com/photo-1731521960265-b2a3dd7d3923?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NjM2MjZ8MHwxfHNlYXJjaHwxfHxDaG9uZ3FpbmclMjBjaXR5JTIwc2t5bGluZXxlbnwwfDB8fHwxNzY5NjU1MjEwfDA&ixlib=rb-4.1.0&q=80&w=200,https://images.unsplash.com/photo-1731521960265-b2a3dd7d3923?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NjM2MjZ8MHwxfHNlYXJjaHwxfHxDaG9uZ3FpbmclMjBjaXR5JTIwc2t5bGluZXxlbnwwfDB8fHwxNzY5NjU1MjEwfDA&ixlib=rb-4.1.0&q=80&w=1080,山城雾都，赛博朋克风情的魅力之城,100,2026-01-27 15:10:37.827107+00
69f7175e-1d58-46f6-a2dc-e31b6e875f5e,Changsha,长沙,changsha,China,,,https://images.unsplash.com/photo-1758987319486-f17fca421868?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NjM2MjZ8MHwxfHNlYXJjaHwxfHxDaGFuZ3NoYSUyMGNpdHklMjBza3lsaW5lfGVufDB8MHx8fDE3Njk2NTUyMTJ8MA&ixlib=rb-4.1.0&q=80&w=200,https://images.unsplash.com/photo-1758987319486-f17fca421868?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NjM2MjZ8MHwxfHNlYXJjaHwxfHxDaGFuZ3NoYSUyMGNpdHklMjBza3lsaW5lfGVufDB8MHx8fDE3Njk2NTUyMTJ8MA&ixlib=rb-4.1.0&q=80&w=1080,网红名城，充满活力的星城,110,2026-01-27 15:10:37.827107+00
